structure,trans_HOMO-1,trans_HOMO,trans_LUMO,trans_LUMO+1,trans_densPd,trans_densP1,trans_densP2,trans_CMull_Pd,trans_CMull_P1,trans_CMull_P2,trans_Chir_Pd,trans_Chir_P1,trans_Chir_P2,trans_Cvor_Pd,trans_Cvor_P1,trans_Cvor_P2,trans_Cmdc_Pd,trans_Cmdc_P1,trans_Cmdc_P2,trans_dipol,trans_EPd,trans_EP1,trans_EP2,cis_HOMO-1,cis_HOMO,cis_LUMO,cis_LUMO+1,cis_densPd,cis_densP1,cis_densP2,cis_CMull_Pd,cis_CMull_P1,cis_CMull_P2,cis_Chir_Pd,cis_Chir_P1,cis_Chir_P2,cis_Cvor_Pd,cis_Cvor_P1,cis_Cvor_P2,cis_Cmdc_Pd,cis_Cmdc_P1,cis_Cmdc_P2,cis_dipol,cis_EPd,cis_EP1,cis_EP2,bite_angle,buried_volume,cone_angle,sasa_area,sasa_atom_area,sasa_volume,solid_angle_G,solid_angle_cone_angle,solid_angle_solid_angle,sterimol_B1,sterimol_B5,sterimol_L,A,B,C,D,A+B+C+D
52,-5.659,-5.046,-2.6,-1.972,106228.2915,2232.96813,2232.92847,-0.4281,0.8926,0.9061,0.3097,0.2179,0.2175,0.306,0.134,0.129,0.616258,1.025062,1.019764,5.512445,267.595725,54.426989,54.42476,-5.665,-5.05,-2.667,-2.189,106227.5777,2233.01834,2232.91332,-0.4162,0.9356,0.9208,0.3148,0.1986,0.2185,0.304,0.105,0.127,0.614416,0.983719,1.024163,11.697906,267.596488,54.43237,54.406746,164.6524693,0.900691797,336.2139573,761.1730816,0,1519.870126,92.70903821,297.4879253,11.65016133,4.958074326,7.298879738,8.822574398,59,5,98,86,247
53,-5.253,-4.861,-2.516,-2.015,106228.357,2232.67382,2232.65895,-0.2983,0.8469,0.8357,0.3023,0.1983,0.2005,0.301,0.142,0.14,0.625972,1.041359,1.048131,9.555219,267.621891,54.449494,54.446385,-5.303,-4.737,-2.47,-2.132,106227.7443,2232.76932,2232.64613,-0.3138,0.8478,0.8931,0.2958,0.1826,0.203,0.291,0.117,0.145,0.599186,1.006714,1.039391,19.182585,267.624564,54.45209,54.427479,26.26729213,0.745470759,0,1037.924776,1.235747211,1854.87911,0,0,0,3.648193824,12.5036003,10.7688194,43,1,187,32,264
54,-5.318,-4.88,-2.476,-2.14,106228.1947,2232.73872,2232.74261,-0.3605,0.8836,0.8498,0.3094,0.2067,0.2013,0.307,0.142,0.136,0.612867,1.04488,1.044803,5.808982,267.610294,54.440367,54.442891,-5.599,-4.793,-2.473,-2.165,106227.8564,2232.82835,2232.6857,-0.3857,0.8806,0.8933,0.3107,0.1856,0.2073,0.304,0.122,0.155,0.626815,1.002029,1.036907,13.777122,267.619389,54.45104,54.42723,33.96529249,0.653519344,269.5644695,1052.520573,19.89067967,1952.827475,68.13156204,222.5254876,8.561664592,5.410837045,11.02191475,7.213762849,32,1,222,15,270
55,-5.316,-4.928,-2.524,-2.162,106227.9957,2232.72649,2232.74183,-0.2993,0.844,0.8522,0.2972,0.2044,0.1985,0.298,0.141,0.133,0.600668,1.044559,1.032578,11.974504,267.612871,54.442877,54.438879,-5.526,-4.823,-2.434,-2.214,106227.5606,2232.81473,2232.68917,-0.362,0.8346,0.9326,0.2933,0.1804,0.2031,0.287,0.118,0.141,0.57094,0.999758,1.032893,10.966997,267.615702,54.446135,54.425328,34.66976598,0.654492229,265.2631268,1187.372832,21.33292349,2294.431962,68.77328,224.1070144,8.642305248,5.473424071,12.30705396,9.211183715,32,1,214,21,268
56,-5.62,-5.048,-2.611,-2.258,106228.2834,2232.71116,2232.7027,-0.3032,0.8283,0.839,0.3038,0.2038,0.2032,0.302,0.14,0.139,0.624313,1.039504,1.038632,7.123074,267.609258,54.435341,54.435048,-5.75,-4.919,-2.601,-2.248,106227.7881,2232.81815,2232.67724,-0.3759,0.8535,0.924,0.309,0.1841,0.2061,0.302,0.121,0.148,0.625714,1.001243,1.032154,12.833476,267.610119,54.440412,54.415966,174.4494446,0.649954347,290.7570129,834.15016,9.791844383,1455.192717,65.43493485,215.9626363,8.222796425,4.633469237,6.735701566,10.29022875,48,1,214,8,270
57,-6.247,-5.701,-3.32,-3.267,106227.982,2232.78477,2232.7813,-0.2616,0.8442,0.8272,0.3021,0.2149,0.2131,0.303,0.149,0.141,0.601701,1.032958,1.047344,7.917124,267.537703,54.353939,54.358204,-6.463,-5.677,-3.561,-3.296,106227.6155,2232.73993,2232.90798,-0.3797,0.8523,0.832,0.3038,0.201,0.1839,0.293,0.14,0.118,0.606316,1.018542,0.992364,7.089508,267.549252,54.349776,54.37335,142.9166915,0.600033777,277.8816781,1252.740024,16.72978699,2479.678285,68.36702212,223.1033774,8.591253378,6.358314994,7.944020142,11.47086255,60,4,189,6,260
58,-5.956,-5.431,-2.97,-2.869,106227.7992,2232.75699,2232.74136,-0.2916,0.837,0.848,0.3038,0.2108,0.2104,0.301,0.148,0.149,0.620381,1.035256,1.035956,7.237133,267.562863,54.382851,54.38275,-6.111,-5.36,-3.025,-2.912,106227.4942,2232.70705,2232.8819,-0.2743,0.8438,0.8175,0.2967,0.2023,0.1833,0.287,0.135,0.117,0.582761,1.022885,0.994952,7.409989,267.563626,54.366217,54.391201,62.03073582,0.535468152,0,1134.533392,0.02900994,2008.628951,0,0,0,2.515502759,14.03421145,14.11518841,59,2,199,6,267
59,-5.81,-5.276,-2.862,-2.572,106227.721,2232.76574,2232.78395,-0.3077,0.8199,0.8336,0.309,0.2034,0.2057,0.312,0.148,0.153,0.653357,1.0639,1.054728,5.049933,267.591216,54.403697,54.406962,-5.875,-5.23,-2.809,-2.604,106227.3896,2232.89434,2232.7468,-0.317,0.8244,0.8966,0.3089,0.1847,0.2036,0.304,0.123,0.15,0.62883,1.0297,1.043493,13.455129,267.592022,54.409779,54.389794,23.87241577,0.846483026,339.5658413,860.1703478,0.118445231,1559.373997,97.52782201,324.4393843,12.25570757,2.532098282,12.31094641,5.979437361,54,2,191,27,275
60,-5.888,-5.411,-2.997,-2.955,106227.5263,2232.81339,2232.81202,-0.2334,0.8357,0.8387,0.3062,0.203,0.2082,0.314,0.16,0.158,0.667159,1.090716,1.077553,5.127539,267.573925,54.376907,54.373145,-6.039,-5.405,-2.924,-2.854,106226.7835,2232.81828,2232.99428,-0.1925,0.8761,0.7843,0.2879,0.1897,0.1731,0.293,0.147,0.136,0.641195,1.058729,1.045055,10.771676,267.581666,54.363089,54.386004,23.35978367,0.875029119,338.913063,907.543576,0.429998781,1690.557998,98.47206748,331.5981314,12.37436495,4.279355482,9.543115715,5.940419857,19,6,80,94,199
61,-6.037,-5.644,-3.235,-3.121,106226.5963,2232.88011,2232.88154,-0.1322,0.8008,0.795,0.292,0.202,0.2043,0.312,0.168,0.169,0.674949,1.093133,1.100341,8.34464,267.55995,54.347602,54.34785,-6.146,-5.649,-3.16,-2.996,106226.2501,2232.85843,2233.15497,-0.165,0.8703,0.7985,0.2762,0.1849,0.1827,0.285,0.151,0.149,0.639702,1.071359,1.066258,7.203805,267.570885,54.338796,54.35753,19.92297225,0.843334396,317.2744081,976.5172005,0.528392466,1831.568607,80.73506377,255.8723543,10.14546733,5.249039088,9.15502274,6.637181481,14,6,4,54,78
62,-5.141,-4.695,-2.822,-2.619,106226.7179,2233.19966,2233.21072,-0.6663,1.2726,1.2912,0.3458,0.2143,0.2157,0.309,0.126,0.132,0.648751,0.954375,0.954128,6.63954,267.603398,54.432722,54.434416,-5.28,-4.88,-2.808,-2.606,106228.518,2233.054,2233.54875,-0.2158,1.3017,0.5673,0.3271,0.2114,0.1664,0.297,0.126,0.058,0.71342,0.960572,0.900372,12.306487,267.607898,54.419306,54.4749,178.0056485,0.781459982,328.0394573,621.3852938,0,1198.603749,83.17845759,263.1472918,10.45251325,4.467019196,4.839354017,8.858290256,3,1,87,105,196
65,-4.98,-4.681,-2.474,-2.196,106225.8407,2233.26624,2233.27609,-0.6899,1.2026,1.2249,0.3451,0.2295,0.223,0.329,0.134,0.134,0.701293,0.985357,0.957783,4.936905,267.606104,54.43225,54.436707,-5.269,-4.78,-2.862,-2.544,106228.4366,2233.42888,2233.03069,-0.3333,0.3156,1.3246,0.3387,0.1288,0.2126,0.306,0.032,0.125,0.732553,0.876245,0.974752,12.115638,267.601848,54.502961,54.419983,27.55856169,0.94960802,349.0852861,951.2069481,0,2029.527595,99.35524079,341.6232471,12.48534778,4.642348096,8.466090569,4.669347722,0,0,70,167,236
